"Story","Title","Result","Date","Stability","Duration (s)"
"Create valid directory test","Create new directory","SUCCESS","2026-05-13T14:43:50.9690634+03:00[Europe/Bucharest]","0.0","12.67"
"Login empty password test","Login","SUCCESS","2026-05-13T14:44:19.8250376+03:00[Europe/Bucharest]","0.0","10.14"
"Login empty username test","Login","SUCCESS","2026-05-13T14:44:20.3832692+03:00[Europe/Bucharest]","0.0","5.79"
"Login invalid server parameterized test","Login","SUCCESS","2026-05-13T14:44:53.5677777+03:00[Europe/Bucharest]","0.0","24.21"
"Login invalid server test","Login","SUCCESS","2026-05-13T14:44:53.9033363+03:00[Europe/Bucharest]","0.0","13.09"
"Login parameterized test","Login","SUCCESS","2026-05-13T14:45:14.6479773+03:00[Europe/Bucharest]","0.0","4.84"
"Login test","Login","SUCCESS","2026-05-13T14:45:14.9850609+03:00[Europe/Bucharest]","0.0","3.61"
"Rename directory invalid test","Rename directory invalid","SUCCESS","2026-05-13T14:45:37.2249818+03:00[Europe/Bucharest]","0.0","17.12"
"Rename directory valid test","Rename directory","SUCCESS","2026-05-13T14:46:21.4285819+03:00[Europe/Bucharest]","0.0","40.99"
"Full scenario test","Full scenario","SUCCESS","2026-05-13T14:46:22.9366571+03:00[Europe/Bucharest]","0.0","24.36"
